iso_country,name,length_ft,width_ft
TF,Europa Island Airstrip,4921.0,
TG,Lomé–Tokoin International Airport,9847.0,148.0
TH,Suvarnabhumi Airport,13123.0,197.0
TJ,Khudzhand Airport,10450.0,164.0
TL,Cakung Airport,8233.0,182.0
TM,Ashgabat International Airport,12467.0,151.0
TN,Enfidha - Hammamet International Airport,10826.0,196.0
TO,Fua'amotu International Airport,8795.0,147.0
TR,İstanbul Airport,13451.0,196.0
TT,Piarco International Airport,10500.0,150.0
TV,Funafuti International Airport,5040.0,
TW,Taiwan Taoyuan International Airport,12008.0,197.0
TZ,Kilimanjaro International Airport,11834.0,148.0
UA,Boryspil International Airport,13123.0,197.0
UG,Entebbe International Airport,12000.0,150.0
UM,Wake Island Airfield,9843.0,150.0
US,Gunflint Seaplane Base,30000.0,5000.0
UY,Carrasco International /General C L Berisso Airport,10499.0,148.0
UZ,Tashkent International Airport,13123.0,197.0
VC,Argyle International Airport,9000.0,148.0
VE,Simón Bolívar International Airport,11483.0,148.0
VG,Terrance B. Lettsome International Airport,4642.0,89.0
VI,Henry E Rohlsen Airport,10004.0,150.0
VN,Tan Son Nhat International Airport,12468.0,148.0
VU,Bauerfield International Airport,8530.0,148.0
WF,Hihifo Airport,6890.0,148.0
WS,Faleolo International Airport,9843.0,148.0
XK,Priština Adem Jashari International Airport,8165.0,148.0
YE,Sadah Airport,11483.0,
YT,Dzaoudzi Pamandzi International Airport,6330.0,92.0
ZA,Pierre Van Ryneveld Airport,16076.0,197.0
ZM,Kenneth Kaunda International Airport,12998.0,150.0
ZW,Robert Gabriel Mugabe International Airport,15502.0,151.0
